"","year","ctry","milt_expend","gni_growth"
"619",2006,"PHL",2592.20618,3.188962153
"620",2007,"PHL",2839.37459,4.436211075
"621",2008,"PHL",2839.80029,3.690050945
"622",2009,"PHL",2730.95664,4.667118168
"623",2010,"PHL",2868.74742,6.394381104
"624",2011,"PHL",2916.4185,-8.22781413
"625",2012,"PHL",2957.15751,5.44887809
"626",2013,"PHL",3362.0999,6.475129553
"627",2014,"PHL",3103.12826,4.098329275
"628",2015,"PHL",3893.15664,4.492999277
"629",2016,"PHL",NA,NA
"630",2017,"PHL",NA,NA
